Level,Diabetes Type,Meal Type,Breakfast,Lunch,Dinner
Level 2,Type 2 Diabetes,Intermediate,Veggie omelette with a side of fruit,Grilled chicken with quinoa and a side of roasted veggies,Stuffed bell peppers with ground turkey and quinoa
Level 2,Type 2 Diabetes,Intermediate,Chia pudding with almond milk and berries,Grilled chicken wrap with veggies and hummus,Herb-crusted salmon with garlic mashed cauliflower
Level 2,Type 2 Diabetes,Difficult,"Green smoothie with kale, spinach, and almond butter",Grilled chicken with avocado and roasted sweet potatoes,Herb-crusted salmon with quinoa and steamed broccoli
Level 2,Type 2 Diabetes,Difficult,Scrambled eggs with avocado and sautéed spinach,Grilled tofu with roasted vegetables and quinoa,Grilled chicken with roasted cauliflower and a side of quinoa
Level 2,Type 2 Diabetes,Difficult,Oatmeal with almond butter and chia seeds,Vegetable curry with brown rice,Grilled shrimp with roasted Brussels sprouts and quinoa
Level 3,Type 3 Diabetes,Easy,Scrambled eggs with cheese and spinach,Grilled shrimp salad with avocado and lemon dressing,Baked cod with roasted sweet potatoes
Level 3,Type 3 Diabetes,Easy,Cottage cheese with pineapple chunks,Turkey chili with kidney beans and cornbread,Grilled salmon with a cucumber dill salad
Level 3,Type 3 Diabetes,Easy,Protein shake with almond milk and chia seeds,Stuffed cabbage rolls with ground beef and rice,Baked trout with a lemon butter sauce
Level 3,Type 3 Diabetes,Intermediate,Greek yogurt with honey and chia seeds,Grilled shrimp and quinoa salad with avocado,Baked chicken with a side of roasted sweet potatoes
Level 3,Type 3 Diabetes,Intermediate,"Smoothie with spinach, protein powder, and almond milk",Turkey wrap with hummus and veggies,Grilled salmon with a side of sautéed kale
Level 3,Type 3 Diabetes,Intermediate,Whole-grain toast with avocado and poached eggs,Grilled chicken with quinoa and roasted vegetables,Zucchini noodles with pesto and grilled chicken
Level 3,Type 3 Diabetes,Difficult,"Scrambled eggs with spinach, cheese, and avocado",Grilled shrimp with roasted cauliflower and quinoa,Grilled lamb with roasted vegetables
Level 3,Type 3 Diabetes,Difficult,Chia pudding with almond milk and berries,Grilled chicken wrap with veggies and hummus,Roasted turkey with mashed cauliflower and green beans
Level 3,Type 3 Diabetes,Difficult,"Omelette with mushrooms, cheese, and spinach",Grilled chicken wrap with veggies and hummus,Zucchini noodles with pesto and grilled chicken
