Level,Category,Set,Exercise
Level 3,Easy,Set 3,Child�s Pose (10 mins)
Level 3,Intermediate,Set 1,Elliptical Training (20 mins)
Level 3,Intermediate,Set 1,Step Aerobics (15 mins)
Level 3,Intermediate,Set 1,Leg Press Machine (3 sets of 8 reps)
Level 3,Intermediate,Set 1,Seated Forward Bend Stretch (3 reps of 20 seconds)
Level 3,Intermediate,Set 2,Brisk Walking (35 mins)
Level 3,Intermediate,Set 2,Rowing Machine (20 mins)
Level 3,Intermediate,Set 2,Dumbbell Bicep Curls (3 sets of 10 reps)
Level 3,Intermediate,Set 2,Pigeon Pose (3 reps of 20 seconds per leg)
Level 3,Intermediate,Set 3,Cycling (25 mins)
Level 3,Intermediate,Set 3,Push-ups (3 sets of 10 reps)
Level 3,Intermediate,Set 3,Resistance Band Rows (3 sets of 12 reps)
Level 3,Intermediate,Set 3,Butterfly Stretch (3 reps of 20 seconds)
Level 3,Difficult,Set 1,"Jump Rope (1 min intervals, 4 sets)"
Level 3,Difficult,Set 1,Medicine Ball Slams (3 sets of 12 reps)
Level 3,Difficult,Set 1,Kettlebell Goblet Squats (3 sets of 12 reps)
Level 3,Difficult,Set 1,Plank Holds (3 sets of 40 seconds)
Level 3,Difficult,Set 2,Hiking (40 mins)
Level 3,Difficult,Set 2,Dumbbell Side Lateral Raises (3 sets of 12 reps)
Level 3,Difficult,Set 2,Bench Press (3 sets of 12 reps)
Level 3,Difficult,Set 2,Mountain Climbers (1 min)
Level 3,Difficult,Set 3,Burpees (3 sets of 8 reps)
Level 3,Difficult,Set 3,Swimming (30 mins)
Level 3,Difficult,Set 3,Dumbbell Deadlifts (3 sets of 12 reps)
Level 3,Difficult,Set 3,Glute Bridges (3 sets of 15 reps)
